Clt,Joueur,Pos,Naissance,Équipe
1,Yunis Abdelhamid,DF,1987,Reims
2,Himad Abdelli,MT,1999,Angers
3,Salis Abdul Samed,MT,2000,Lens
4,Laurent Abergel,MT,1993,Lorient
5,Matthis Abline,ATMT,2003,Rennes
6,Zakaria Aboukhlal,MTAT,2000,Toulouse
7,Mohamed Achi,MTAT,2002,Nantes
8,Martin Adeline,MTAT,2003,Reims
9,Emmanuel Agbadou,DF,1997,Reims
10,Lucien Agoume,MT,2002,Troyes
11,Ruben Aguilar,DF,1993,Monaco
12,Jean-Eudes Aholou,MT,1994,Strasbourg
13,Ludovic Ajorque,AT,1994,Strasbourg
14,Maghnes Akliouche,MTAT,2002,Monaco
15,Doğan Alemdar,GB,2002,Rennes
16,Jim Allevinah,MT,1995,Clermont Foot
17,Mickaël Alphonse,DF,1989,Ajaccio
18,Ibrahim Amadou,DFMT,1993,Angers
19,Benjamin André,MT,1990,Lille
20,Komnen Andrić,AT,1995,Clermont Foot
21,Houssem Aouar,MT,1998,Lyon
22,Adil Aouchiche,MT,2002,Lorient
23,Dennis Appiah,DFMT,1992,Nantes
24,Lorenz Assignon,DFMT,2000,Rennes
25,Youcef Atal,DFMT,1996,Nice
26,Mathias Autret,MT,1991,Auxerre
27,Cédric Avinel,DF,1986,Ajaccio
28,Loïc Bade,DF,2000,Rennes
29,Benoît Badiashile,DF,2001,Monaco
30,Eric Bailly,DF,1994,Marseille
31,Dénys Bain,DF,1993,Auxerre
32,Brandon Baiye,MT,2000,Clermont Foot
33,Cédric Bakambu,MT,1991,Marseille
34,Thierno Balde,DF,2002,Troyes
35,Carlos Baleba,MT,2004,Lille
36,Leonardo Balerdi,DF,1999,Marseille
37,Folarin Balogun,AT,2001,Reims
38,Abdoulaye Bamba,DF,1990,Angers
39,Jonathan Bamba,MT,1996,Lille
40,Bradley Barcola,MTAT,2002,Lyon
41,Melvin Bard,DF,2000,Nice
42,Ross Barkley,MTAT,1993,Nice
43,Mickaël Barreto,MT,1991,Ajaccio
44,Cyrille Bayala,MT,1996,Ajaccio
45,Yanis Begraoui,MT,2001,Toulouse
46,Alexis Beka Beka,MT,2001,Nice
47,Jérémie Bela,DFMT,1993,Clermont Foot
48,Youcef Belaïli,MTAT,1992,Ajaccio
49,Youcef Belaïli,MTAT,1992,Brest
50,Haris Belkebla,MT,1994,Brest
51,Jean-Ricner Bellegarde,MTDF,1998,Strasbourg
52,Wissam Ben Yedder,AT,1990,Monaco
53,Nabil Bentaleb,MT,1994,Angers
54,Patrick Berg,MTAT,1997,Lens
55,Mitchell van Bergen,DFAT,1999,Reims
56,Quentin Bernard,DF,1989,Auxerre
57,Paul Bernardoni,GB,1997,Angers
58,Juan Bernat,DFMT,1993,Paris S-G
59,Jason Berthomier,MT,1990,Clermont Foot
60,El Bilal Touré,AT,2001,Reims
61,Jean-Claude Billong,MT,1993,Clermont Foot
62,Veljko Birmančević,MTDF,1998,Toulouse
63,Marco Bizot,GB,1991,Brest
64,Rubén Blanco,GB,1995,Marseille
65,Ludovic Blas,MTAT,1997,Nantes
66,Miha Blažič,DF,1993,Angers
67,Myron Boadu,AT,2001,Monaco
68,Jérôme Boateng,DF,1988,Lyon
69,Antonin Bobichon,MT,1995,Angers
70,Quentin Boisgard,MT,1997,Lorient
71,Neto Borges,DF,1996,Clermont Foot
72,Kenji-Van Boto,DF,1996,Auxerre
73,Kouamé Botué,AT,2002,Ajaccio
74,Hicham Boudaoui,MT,1999,Nice
75,Sofiane Boufal,MTAT,1993,Angers
76,Ismaëlben Boura,DFAT,2000,Lens
77,Benjamin Bourigeaud,MTAT,1994,Rennes
78,Bilal Brahimi,ATMT,2000,Nice
79,Lilian Brassier,DF,1999,Brest
80,Andreas Bruus,DFMT,1999,Troyes
81,Joe Bryan,MTDF,1993,Nice
82,Adam Buksa,ATMT,1996,Lens
83,Marcin Bułka,GB,1999,Nice
84,Maxime Busi,DF,1999,Reims
85,Rémy Cabella,MT,1990,Lille
86,Jimmy Cabot,DFMT,1994,Lens
87,Jens Cajuste,MT,1999,Reims
88,Duje Ćaleta-Car,DF,1996,Marseille
89,Mahdi Camara,MTDF,1998,Brest
90,Mohamed Camara,MT,2000,Monaco
91,Ousmane Camara,DF,2003,Angers
92,Axel Camblan,AT,2003,Brest
93,Pierrick Capelle,MTDF,1987,Angers
94,Maxence Caqueret,MT,2000,Lyon
95,Irvin Cardona,ATMT,1997,Brest
96,Matis Carvalho,GB,1999,Montpellier
