,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
1,Yunis Abdelhamid,ma MAR,DF,Reims,35-028,1987,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.05,0.01,0.06,0.05,0.06,Matchs,32c2d95f
2,Himad Abdelli,fr FRA,MT,Angers,22-343,1999,5,1,142,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.12,0.19,0.31,0.12,0.31,Matchs,7978cbf0
3,Salis Abdul Samed,gh GHA,MT,Lens,22-214,2000,12,12,1079,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matchs,82464ce3
4,Laurent Abergel,fr FRA,MT,Lorient,29-267,1993,10,10,807,9.0,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,Matchs,31626657
5,Matthis Abline,fr FRA,ATMT,Rennes,19-212,2003,9,0,101,1.1,1,0,1,0,0,0,0,0.89,0.00,0.89,0.89,0.89,0.8,0.8,0.2,1.0,0.68,0.21,0.89,0.68,0.89,Matchs,0e46fa2f
6,Zakaria Aboukhlal,ma MAR,MTAT,Toulouse,22-250,2000,12,11,945,10.5,3,3,3,0,0,2,0,0.29,0.29,0.57,0.29,0.57,3.0,3.0,1.6,4.6,0.29,0.15,0.44,0.29,0.44,Matchs,c2a6033c
7,Mohamed Achi,fr FRA,MTAT,Nantes,20-283,2002,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.30,0.08,0.39,0.30,0.39,Matchs,1e93fc5d
8,Martin Adeline,fr FRA,MTAT,Reims,18-328,2003,4,0,93,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matchs,7587446d
9,Emmanuel Agbadou,ci CIV,DF,Reims,25-131,1997,10,9,789,8.8,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.1,0.08,0.05,0.13,0.08,0.13,Matchs,75f1ed80
10,Lucien Agoume,fr FRA,MT,Troyes,20-259,2002,3,2,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.36,0.36,0.00,0.36,Matchs,8bc8829a
11,Ruben Aguilar,fr FRA,DF,Monaco,29-183,1993,6,4,318,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3dd738a1
12,Jean-Eudes Aholou,ci CIV,MT,Strasbourg,28-220,1994,10,5,462,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.06,0.15,0.21,0.06,0.21,Matchs,48b28bfd
13,Ludovic Ajorque,re REU,AT,Strasbourg,28-243,1994,7,4,339,3.8,1,0,0,1,1,1,0,0.27,0.00,0.27,0.00,0.00,2.1,1.3,0.3,1.6,0.56,0.08,0.64,0.35,0.43,Matchs,462475ed
14,Maghnes Akliouche,fr FRA,MTAT,Monaco,20-243,2002,4,2,174,1.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.09,0.15,0.24,0.09,0.24,Matchs,b625b241
15,Doğan Alemdar,tr TUR,GB,Rennes,19-362,2002,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,9e17ccff
16,Jim Allevinah,ga GAB,MT,Clermont Foot,27-241,1995,10,5,488,5.4,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,1.0,1.0,0.2,1.2,0.19,0.03,0.22,0.19,0.22,Matchs,1956b948
