full_name,,,birthday_GMT,league,,position,Current Club
Aaron Cresswell,,,1989/12/15,Premier League,,Defender,West Ham United
Aaron Lennon,,,1987/04/16,Premier League,,Midfielder,Burnley
Aaron Mooy,,,1990/09/15,Premier League,,Midfielder,Huddersfield Town
Aaron Ramsey,,,1990/12/26,Premier League,,Midfielder,Arsenal
Aaron Rowe,,,2000/09/07,Premier League,,Forward,Huddersfield Town
Aaron Wan-Bissaka,,,1997/11/26,Premier League,,Midfielder,Crystal Palace
Abdelhamid Sabiri,,,1996/11/28,Premier League,,Midfielder,Huddersfield Town
Abdoulaye Doucouré,,,1993/01/01,Premier League,,Midfielder,Watford
Aboubakar Kamara,,,1995/03/07,Premier League,,Forward,Fulham
Adalberto Peñaranda Maestre,,,1997/05/31,Premier League,,Forward,Watford
Adam David Lallana,,,1988/05/10,Premier League,,Midfielder,Liverpool
Adam Masina,,,1994/01/02,Premier League,,Defender,Watford
Adam Smith,,,1991/04/29,Premier League,,Defender,AFC Bournemouth
Adama Diakhaby,,,1996/07/05,Premier League,,Forward,Huddersfield Town
Adama Traoré Diarra,,,1996/01/25,Premier League,,Midfielder,Wolverhampton Wanderers
Ademola Lookman,,,1997/10/20,Premier League,,Forward,Everton
Adrian Mariappa,,,1986/10/03,Premier League,,Defender,Watford
Adrián San Miguel del Castillo,,,1987/01/03,Premier League,,Goalkeeper,West Ham United
Adrien Sebastian Perruchet Silva,,,1989/03/15,Premier League,,Midfielder,Leicester City
Ainsley Maitland-Niles,,,1997/08/29,Premier League,,Midfielder,Arsenal
Alberto Moreno,,,1992/07/05,Premier League,,Defender,Liverpool
Aleksandar Mitrović,,,1994/09/16,Premier League,,Forward,Fulham
Alex Iwobi,,,1996/05/03,Premier League,,Forward,Arsenal
Alex McCarthy,,,1989/12/03,Premier League,,Goalkeeper,Southampton
Alex Oxlade-Chamberlain,,,1993/08/15,Premier League,,Midfielder,Liverpool
Alex Pritchard,,,1993/05/03,Premier League,,Midfielder,Huddersfield Town
Alex Smithies,,,1990/03/05,Premier League,,Goalkeeper,Cardiff City
Alexander Sørloth,,,1995/12/05,Premier League,,Forward,Crystal Palace
Alexandre Lacazette,,,1991/05/28,Premier League,,Forward,Arsenal
